id,区,町字,順,レイヤー,種別,名称,住所,緯度,経度,説明あり,現teaser,担当,写真ファイル名,伏せた一行,到着後の説明
7306,荒川区,南千住,22,街を見る,文化財,日暮里延命院貝塚出土品,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7307,荒川区,南千住,23,街を見る,文化財,町屋四丁目実揚遺跡出土品,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7339,荒川区,南千住,24,街を見る,文化財,板碑三基（永和五年七月十五日銘他）,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7348,荒川区,南千住,25,街を見る,文化財,宝篋印塔二基（明徳二年銘他）,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7350,荒川区,南千住,26,街を見る,文化財,板碑二基（年未詳）,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7357,荒川区,南千住,27,街を見る,文化財,板碑一基（年未詳）,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7363,荒川区,南千住,28,街を見る,文化財,皆川号外コレクション,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7366,荒川区,南千住,29,街を見る,文化財,日枝神社棟札,東京都荒川区南千住6-60-1,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7369,荒川区,南千住,30,街を見る,文化財,千住製絨所絵馬,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7370,荒川区,南千住,31,街を見る,文化財,熊野神社棟札二点（貞享元年銘・天保十三年銘）,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7372,荒川区,南千住,32,街を見る,文化財,橋本左内の墓旧套堂,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,名を残した人が静かに眠る一角,,,,
7408,荒川区,南千住,33,街を見る,文化財,成田講用具,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7419,荒川区,南千住,34,街を見る,文化財,和蝋燭屋看板二点,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,歩いてこそ見つかる場所,,,,
7426,荒川区,南千住,35,街を見る,文化財,小児活生丸看板三点,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7429,荒川区,南千住,36,街を見る,文化財,丸生講尾久講社富士講用具,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.737426,139.79541,,地図では気づかない、街の一部,,,,
7462,荒川区,南千住,37,街を見る,文化財,米倉氏屋敷跡,東京都荒川区南千住6-66・67付近,35.738036,139.79488,,地図では気づかない、街の一部,,,,
7381,荒川区,南千住,38,街を見る,文化財,法華曼荼羅三界万霊塔（寛文十一年二月中旬六日銘）,東京都荒川区南千住5-44-4,35.736413,139.795986,,歩いてこそ見つかる場所,,,,
7450,荒川区,南千住,39,街を見る,文化財,東龍斎清寿の墓,東京都荒川区南千住6-59-19,35.736413,139.795986,,名を残した人が静かに眠る一角,,,,
7308,荒川区,南千住,40,街を見る,文化財,板碑（正応二年四月日銘）,東京都荒川区南千住7-15-4,35.736825,139.797919,,歩いてこそ見つかる場所,,,,
7255,荒川区,南千住,41,街を見る,文化財,日枝神社本殿,東京都荒川区南千住7-23-17日枝神社,35.738347,139.799097,,地図では気づかない、街の一部,,,,
7400,荒川区,南千住,42,街を見る,文化財,庚申塔（寛文九年十月十二日銘）,東京都荒川区南千住7-23日枝神社参道口,35.738279,139.799521,,地図では気づかない、街の一部,,,,
7259,荒川区,南千住,43,街を見る,文化財,旧千住製絨所煉瓦塀,東京都荒川区南千住6-42荒川工業高校,35.737699,139.792234,,地図では気づかない、街の一部,,,,
7314,荒川区,南千住,44,街を見る,文化財,旧上野の黒門,東京都荒川区南千住1-59-11,35.734047,139.792986,,歩いてこそ見つかる場所,,,,
7329,荒川区,南千住,45,街を見る,文化財,板碑四基（永仁四年十月日銘他）,東京都荒川区南千住1-59-11,35.734047,139.792986,,歩いてこそ見つかる場所,,,,
7343,荒川区,南千住,46,街を見る,文化財,石造七重塔（享保七歳次壬寅端午日銘）,東京都荒川区南千住1-59-11,35.734047,139.792986,,歩いてこそ見つかる場所,,,,
7376,荒川区,南千住,47,街を見る,文化財,彰義隊関係追悼碑群,東京都荒川区南千住1-59-11,35.734047,139.792986,,地図では気づかない、街の一部,,,,
7420,荒川区,南千住,48,街を見る,文化財,庚申塔一基（宝永三年十一月十八日銘）,東京都荒川区南千住1-59-11,35.734047,139.792986,,地図では気づかない、街の一部,,,,
7438,荒川区,南千住,49,街を見る,文化財,彰義隊戦士の墓,東京都荒川区南千住1-59-11,35.734047,139.792986,,名を残した人が静かに眠る一角,,,,
7262,荒川区,南千住,50,街を見る,文化財,紙本着色仏涅槃図,東京都荒川区南千住1-32-9,35.732823,139.792679,,歩いてこそ見つかる場所,,,,
7282,荒川区,南千住,51,街を見る,文化財,太鼓（天明七年二月吉日銘）,東京都荒川区南千住1-32-9,35.732823,139.792679,,地図では気づかない、街の一部,,,,
7340,荒川区,南千住,52,街を見る,文化財,手水鉢（寛文十年五月十八日銘）,東京都荒川区南千住1-32-9,35.732823,139.792679,,地図では気づかない、街の一部,,,,
7567,荒川区,南千住,53,街を見る,観光施設,三ノ輪橋おもいで館,東京都荒川区南千住1丁目12-6,35.732016,139.791813,,歩いてこそ見つかる場所,,,,
7323,荒川区,南千住,54,街を見る,文化財,板碑群二十三基（正中二年八月日銘他）,東京都荒川区南千住,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7361,荒川区,南千住,55,街を見る,文化財,高島秋帆関係資料,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7364,荒川区,南千住,56,街を見る,文化財,宝篋印塔残欠（応永二十八年「鏡圓禅門」銘）,東京都荒川区南千住,35.732741,139.791324,,地図では気づかない、街の一部,,,,
7365,荒川区,南千住,57,街を見る,文化財,神翁寺関係資料,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7374,荒川区,南千住,58,街を見る,文化財,飯塚家資料,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7379,荒川区,南千住,59,街を見る,文化財,皆川氷業史関係コレクション,東京都荒川区南千住6-63-1荒川ふるさと文化館,35.732741,139.791324,,地図では気づかない、街の一部,,,,
7422,荒川区,南千住,60,街を見る,文化財,胡粉袋版木,東京都荒川区南千住,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7427,荒川区,南千住,61,街を見る,文化財,獅子頭一対（文政九年六月吉日銘）,東京都荒川区南千住6-60-1素盞雄神社,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7428,荒川区,南千住,62,街を見る,文化財,山富講下谷講社富士講用具,東京都荒川区南千住6-60-1素盞雄神社,35.732741,139.791324,,歩いてこそ見つかる場所,,,,
7444,荒川区,南千住,63,街を見る,文化財,石川氏屋敷跡,東京都荒川区南千住1,35.733164,139.791219,,歩いてこそ見つかる場所,,,,
7445,荒川区,南千住,64,街を見る,文化財,大関氏屋敷跡,東京都荒川区南千住1,35.733164,139.791219,,地図では気づかない、街の一部,,,,
7446,荒川区,南千住,65,街を見る,文化財,宗氏屋敷跡,東京都荒川区南千住1,35.733164,139.791219,,歩いてこそ見つかる場所,,,,
7313,荒川区,南千住,66,街を見る,文化財,新吉原総霊塔,東京都荒川区南千住2-1-12,35.730717,139.792775,,地図では気づかない、街の一部,,,,
7351,荒川区,南千住,67,街を見る,文化財,板碑（正和二年十一月日銘）,東京都荒川区南千住2-1-12,35.730717,139.792775,,地図では気づかない、街の一部,,,,
7572,荒川区,南千住,68,街を見る,観光施設,延命寺,東京都荒川区南千住2丁目34-5,35.731701,139.797826,,路地の奥にひっそりと残る寺,,,,
7322,荒川区,南千住,69,街を見る,文化財,小塚原の首切地蔵,東京都荒川区南千住2-34-5,35.731672,139.797964,,地図では気づかない、街の一部,,,,
7378,荒川区,南千住,70,街を見る,文化財,題目塔(元禄十一年二月中浣五日銘),東京都荒川区南千住2-34-5,35.731672,139.797964,,歩いてこそ見つかる場所,,,,
7573,荒川区,南千住,71,街を見る,観光施設,回向院,東京都荒川区南千住5丁目33-13,35.732209,139.797787,,観光地図には載っていない、静かな寺,,,,
7301,荒川区,南千住,72,街を見る,文化財,回向院文書,東京都荒川区南千住5-33-13,35.732209,139.797786,,地図では気づかない、街の一部,,,,
7354,荒川区,南千住,73,街を見る,文化財,景岳橋本君碑,東京都荒川区南千住5-33-13,35.732209,139.797786,,地図では気づかない、街の一部,,,,
7371,荒川区,南千住,74,街を見る,文化財,橋本左内の墓,東京都荒川区南千住5-33-13,35.732209,139.797786,,石碑がひとつ立つだけの、知る人ぞ知る場所,,,,
7440,荒川区,南千住,75,街を見る,文化財,吉田松陰の墓,東京都荒川区南千住5-33-13,35.732209,139.797786,,名を残した人が静かに眠る一角,,,,
7441,荒川区,南千住,76,街を見る,文化財,小塚原の刑場跡,東京都荒川区南千住5-33-13,35.732209,139.797786,,歩いてこそ見つかる場所,,,,
7442,荒川区,南千住,77,街を見る,文化財,観臓記念碑,東京都荒川区南千住5-33-13,35.732209,139.797786,,地図では気づかない、街の一部,,,,
7449,荒川区,南千住,78,街を見る,文化財,頼三樹三郎の墓,東京都荒川区南千住5-33-13,35.732209,139.797786,,石碑がひとつ立つだけの、知る人ぞ知る場所,,,,
7461,荒川区,南千住,79,街を見る,文化財,真先銭座跡,東京都荒川区南千住3-29～40付近,35.730497,139.808116,,歩いてこそ見つかる場所,,,,
7451,荒川区,南千住,80,街を見る,文化財,水神の渡し跡,東京都荒川区南千住3,35.73185,139.808417,,歩いてこそ見つかる場所,,,,
7463,荒川区,南千住,81,街を見る,文化財,酒井氏屋敷跡,東京都荒川区南千住3-38付近,35.72956,139.809501,,地図では気づかない、街の一部,,,,
7256,荒川区,南千住,82,街を見る,文化財,麁香神社社殿,東京都荒川区南千住3-28-58,35.729044,139.808171,,地図では気づかない、街の一部,,,,
7319,荒川区,南千住,83,街を見る,文化財,伊勢物語の歌碑,東京都荒川区南千住3-28-58,35.729044,139.808171,,歩いてこそ見つかる場所,,,,
7320,荒川区,南千住,84,街を見る,文化財,亀田鵬斎の詩碑,東京都荒川区南千住3-28-58,35.729044,139.808171,,歩いてこそ見つかる場所,,,,
7327,荒川区,南千住,85,街を見る,文化財,手水鉢（元禄元年十二月吉日銘）,東京都荒川区南千住3-28-58,35.729044,139.808171,,歩いてこそ見つかる場所,,,,
7342,荒川区,南千住,86,街を見る,文化財,麁香神社関係資料（石碑二基、由緒書木板一面、扁額一面）,東京都荒川区南千住3-28-58,35.729044,139.808171,,地図では気づかない、街の一部,,,,
7368,荒川区,南千住,87,街を見る,文化財,富士講関係石造物群,東京都荒川区南千住3-28-58,35.729044,139.808171,,歩いてこそ見つかる場所,,,,
7414,荒川区,南千住,88,街を見る,文化財,庚申塔三基（貞享三年五月吉祥日銘他）,東京都荒川区南千住3-28-58,35.729044,139.808171,,歩いてこそ見つかる場所,,,,
7334,荒川区,南千住,89,街を見る,文化財,手水鉢（明和元年九月吉日銘）,東京都荒川区南千住8-11-11,35.73774,139.810324,,地図では気づかない、街の一部,,,,
7452,荒川区,南千住,90,街を見る,文化財,汐入の渡し跡,東京都荒川区南千住8,35.738631,139.810756,,地図では気づかない、街の一部,,,,
7258,荒川区,西尾久,1,街を見る,文化財,荒川遊園煉瓦塀,東京都荒川区西尾久6-20,35.753248,139.75996,,地図では気づかない、街の一部,,,,
7457,荒川区,西尾久,2,街を見る,文化財,小台の渡し跡,東京都荒川区西尾久6,35.751564,139.759771,,歩いてこそ見つかる場所,,,,
7409,荒川区,西尾久,3,街を見る,文化財,日待供養碑（寛文九年十一月十六日銘他）,東京都荒川区西尾久6-32延命子育地蔵尊,35.751991,139.757961,,地図では気づかない、街の一部,,,,
7584,荒川区,西尾久,4,街を見る,観光施設,寳蔵院,東京都荒川区西尾久3丁目16-19,35.752928,139.762832,,路地の奥にひっそりと残る寺,,,,
7266,荒川区,西尾久,5,街を見る,文化財,絹本着色虚無僧像,東京都荒川区西尾久3-10-6,35.75184,139.763525,,歩いてこそ見つかる場所,,,,
7293,荒川区,西尾久,6,街を見る,文化財,一月寺文書,東京都荒川区西尾久3-10-6,35.75184,139.763525,,地図では気づかない、街の一部,,,,
7309,荒川区,西尾久,7,街を見る,文化財,板碑（文明十五年十月七日銘他）,東京都荒川区西尾久3-10-6,35.75184,139.763525,,歩いてこそ見つかる場所,,,,
7283,荒川区,西尾久,8,街を見る,文化財,大般若経,東京都荒川区西尾久3-9-5,35.751273,139.764637,,歩いてこそ見つかる場所,,,,
7315,荒川区,西尾久,9,街を見る,文化財,板碑（正和五年十月日銘）,東京都荒川区西尾久3-9-5,35.751273,139.764637,,地図では気づかない、街の一部,,,,
7410,荒川区,西尾久,10,街を見る,文化財,庚申塔（正徳三年十一月十六日銘他）,東京都荒川区西尾久3-9-5,35.751273,139.764637,,地図では気づかない、街の一部,,,,
7287,荒川区,西尾久,11,街を見る,文化財,上尾久村村絵図,東京都荒川区西尾久3-7-3,35.750414,139.765253,,歩いてこそ見つかる場所,,,,
7328,荒川区,西尾久,12,街を見る,文化財,手水鉢（享保十四年九月吉日銘）,東京都荒川区西尾久3-7-3,35.750414,139.765253,,地図では気づかない、街の一部,,,,
7396,荒川区,西尾久,13,街を見る,文化財,庚申塔二基（寛文十年銘他）,東京都荒川区西尾久2-25地蔵山墓地,35.749992,139.763708,,地図では気づかない、街の一部,,,,
7434,荒川区,西日暮里,1,街を見る,文化財,江戸の里神楽,東京都荒川区西日暮里6-15-6,35.737173,139.770938,,地図では気づかない、街の一部,,,,
7433,荒川区,西日暮里,2,街を見る,文化財,三河島山車人形・稲田姫組立技術,東京都荒川区西日暮里,35.735712,139.77594,,地図では気づかない、街の一部,,,,
7392,荒川区,西日暮里,3,街を見る,文化財,うすさま明王石像,東京都荒川区西日暮里5-8-7,35.732798,139.769704,,地図では気づかない、街の一部,,,,
7349,荒川区,西日暮里,4,街を見る,文化財,手水鉢（天保二年三月吉日銘）,東京都荒川区西日暮里3-4-8,35.730864,139.767072,,歩いてこそ見つかる場所,,,,
7380,荒川区,西日暮里,5,街を見る,文化財,武蔵国豊島郡新堀邨諏訪神社記碑,東京都荒川区西日暮里3-4-8,35.730864,139.767072,,歩いてこそ見つかる場所,,,,
7416,荒川区,西日暮里,6,街を見る,文化財,庚申塔二基（元禄十二年十月吉日銘他）,東京都荒川区西日暮里3-4-8,35.730864,139.767072,,歩いてこそ見つかる場所,,,,
7431,荒川区,西日暮里,7,街を見る,文化財,日暮里山車人形・鎮西八郎源為朝,東京都荒川区西日暮里3-4-8,35.730864,139.767072,,地図では気づかない、街の一部,,,,
7269,荒川区,西日暮里,8,街を見る,文化財,銅造地蔵菩薩立像,東京都荒川区西日暮里3-4-3,35.730304,139.767583,,地図では気づかない、街の一部,,,,
7273,荒川区,西日暮里,9,街を見る,文化財,銅造地蔵菩薩坐像,東京都荒川区西日暮里3-4-3,35.730304,139.767583,,地図では気づかない、街の一部,,,,
7284,荒川区,西日暮里,10,街を見る,文化財,後北条氏関係資料,東京都荒川区西日暮里3-4-3,35.730304,139.767583,,地図では気づかない、街の一部,,,,
7341,荒川区,西日暮里,11,街を見る,文化財,手水鉢（享保十年十一月銘）,東京都荒川区西日暮里3-4-3,35.730304,139.767583,,歩いてこそ見つかる場所,,,,
7390,荒川区,西日暮里,12,街を見る,文化財,庚申塔群七基（寛文十年八月十五日銘他）,東京都荒川区西日暮里3-4-3,35.730304,139.767583,,歩いてこそ見つかる場所,,,,
7417,荒川区,西日暮里,13,街を見る,文化財,六地蔵（元禄十六年二月十五日銘他）,東京都荒川区西日暮里3-4-3,35.730304,139.767583,,歩いてこそ見つかる場所,,,,
7270,荒川区,西日暮里,14,街を見る,文化財,木造二天王立像,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,地図では気づかない、街の一部,,,,
7311,荒川区,西日暮里,15,街を見る,文化財,談林派歴代の句碑,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,歩いてこそ見つかる場所,,,,
7325,荒川区,西日暮里,16,街を見る,文化財,柏木如亭の碑,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,地図では気づかない、街の一部,,,,
7331,荒川区,西日暮里,17,街を見る,文化財,自堕落先生の碑,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,地図では気づかない、街の一部,,,,
7356,荒川区,西日暮里,18,街を見る,文化財,宝篋印塔（元禄十六年六月二十六日銘）,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,歩いてこそ見つかる場所,,,,
7382,荒川区,西日暮里,19,街を見る,文化財,梅花仏鑑塔,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,歩いてこそ見つかる場所,,,,
7386,荒川区,西日暮里,20,街を見る,文化財,妍斎落歯塚の碑（寛政九年十月銘）,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,地図では気づかない、街の一部,,,,
7405,荒川区,西日暮里,21,街を見る,文化財,江戸西国二十七番札所碑,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,地図では気づかない、街の一部,,,,
7418,荒川区,西日暮里,22,街を見る,文化財,庚申塔（元禄十五年□月八日銘他）,東京都荒川区西日暮里3-3-8,35.729469,139.76833,,地図では気づかない、街の一部,,,,
7271,荒川区,西日暮里,23,街を見る,文化財,木造毘沙門天像,東京都荒川区西日暮里3-2-14,35.728767,139.768067,,地図では気づかない、街の一部,,,,
7407,荒川区,西日暮里,24,街を見る,文化財,庚申塔（延宝八年十一月五日銘）,東京都荒川区西日暮里3-2-14,35.728767,139.768067,,歩いてこそ見つかる場所,,,,
7261,荒川区,西日暮里,25,街を見る,文化財,木造七面明神立像宮殿,東京都荒川区西日暮里3-10-1,35.72822,139.767553,,地図では気づかない、街の一部,,,,
7268,荒川区,西日暮里,26,街を見る,文化財,板本着色平経正竹生島詣図絵馬,東京都荒川区西日暮里3-10-1,35.72822,139.767553,,歩いてこそ見つかる場所,,,,
7275,荒川区,西日暮里,27,街を見る,文化財,木造七面明神立像,東京都荒川区西日暮里3-10-1,35.72822,139.767553,,歩いてこそ見つかる場所,,,,
7402,荒川区,西日暮里,28,街を見る,文化財,木造大黒天像,東京都荒川区西日暮里3-2-6,35.728053,139.768748,,歩いてこそ見つかる場所,,,,
7285,荒川区,西日暮里,29,街を見る,文化財,日蓮書状,東京都荒川区西日暮里3-1-3,35.728056,139.76949,,地図では気づかない、街の一部,,,,
7321,荒川区,西日暮里,30,街を見る,文化財,道灌丘碑,東京都荒川区西日暮里3-1-3,35.728056,139.76949,,地図では気づかない、街の一部,,,,
7367,荒川区,西日暮里,31,街を見る,文化財,物見塚記版木,東京都荒川区西日暮里3-1-3,35.728056,139.76949,,歩いてこそ見つかる場所,,,,
7435,荒川区,西日暮里,32,街を見る,文化財,永井尚志の墓,東京都荒川区西日暮里3-1-3,35.728056,139.76949,,名を残した人が静かに眠る一角,,,,
7436,荒川区,西日暮里,33,街を見る,文化財,市河寛斎の墓,東京都荒川区西日暮里3-1-3,35.728056,139.76949,,石碑がひとつ立つだけの、知る人ぞ知る場所,,,,
7437,荒川区,西日暮里,34,街を見る,文化財,市河米庵の墓,東京都荒川区西日暮里3-1-3,35.728056,139.76949,,名を残した人が静かに眠る一角,,,,
7274,荒川区,西日暮里,35,街を見る,文化財,銅造菩薩立像,東京都荒川区西日暮里3-8-3,35.729097,139.766248,,歩いてこそ見つかる場所,,,,
7277,荒川区,西日暮里,36,街を見る,文化財,木造聖観音菩薩立像,東京都荒川区西日暮里3-8-3,35.729097,139.766248,,地図では気づかない、街の一部,,,,
